"clave","idioma","texto_mac","texto_windows","clave_windows_usada","veredicto","motivo"
"settings.language-apply-title","fr","Fermer Aura Studio maintenant ?","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-apply-message","ja","言語はアプリを開き直したときに変わります。ライブラリや iPod には何も手を加えません。「あとで」を選ぶと設定は保存され、次に開いたときに適用されます。","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-apply-message","de","Die Sprache wechselt, wenn du die App wieder öffnest; an deiner Mediathek und deinem iPod wird nichts angerührt. Wählst du „Später“, bleibt die Einstellung gespeichert und gilt beim nächsten Öffnen.","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-apply-message","ru","Язык меняется при повторном открытии приложения, и ничего в вашей медиатеке или на iPod не затрагивается. Если выбрать «Позже», настройка сохранится и применится при следующем открытии.","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-apply-message","fr","La langue change à la réouverture de l’app, et rien dans votre bibliothèque ni sur votre iPod n’est modifié. Si vous choisissez « Plus tard », le réglage reste enregistré et s’applique à la prochaine ouverture.","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-close-now","ja","今すぐ終了","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-close-now","de","Jetzt schließen","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-close-now","ru","Закрыть сейчас","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-close-now","fr","Fermer maintenant","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-restart-later","ja","あとで","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: solo Mac)"
"settings.language-restart-later","de","Später","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: solo Mac)"
"settings.language-restart-later","ru","Позже","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: solo Mac)"
"settings.language-restart-later","fr","Plus tard","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: solo Mac)"
"settings.language-busy-title","ja","次回の起動時に適用されます","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: solo Mac)"
"settings.language-busy-title","de","Wird beim nächsten Start übernommen","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: solo Mac)"
"settings.language-busy-title","ru","Применится при следующем запуске","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: solo Mac)"
"settings.language-busy-title","fr","S’appliquera au prochain démarrage","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: solo Mac)"
"settings.language-busy-message","ja","実行中のタスクがあります（同期、変換、移行、ファームウェア）。言語設定は保存され、次に Aura Studio を開いたときに適用されます。","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-busy-message","de","Es laufen gerade Aufgaben: Synchronisieren, Umwandeln, Migrieren oder Firmware. Die Sprache bleibt gespeichert und gilt, wenn du Aura Studio das nächste Mal öffnest.","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-busy-message","ru","Выполняются задачи: синхронизация, преобразование, миграция или прошивка. Настройка языка сохранена и применится при следующем открытии Aura Studio.","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-busy-message","fr","Des tâches sont en cours : synchronisation, conversion, migration ou micrologiciel. La langue reste enregistrée et s’appliquera à la prochaine ouverture d’Aura Studio.","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
