clase	archivo	linea	texto
PANTALLA	ViewModels/LibraryViewModel.swift	2172	No se pudo completar la busqueda para \(networkErrors.count) de \(attempted) cancion(es): \(networkErrors[0])
PANTALLA	ViewModels/LibraryViewModel.swift	2175	No se encontro informacion nueva para ninguna de las \(attempted) cancion(es) seleccionadas.
PANTALLA	ViewModels/LibraryViewModel.swift	2176	Se encontro informacion nueva para \(found) de \(attempted) cancion(es).
PANTALLA	ViewModels/LibraryViewModel.swift	2236	No habia nada que actualizar en \(attempted) cancion(es): ya tenian lo que traen sus archivos.
PANTALLA	ViewModels/LibraryViewModel.swift	2237	Se actualizaron \(updated) de \(attempted) cancion(es) con lo que traen sus archivos.
PANTALLA	ViewModels/LibraryViewModel.swift	2362	No hay ningún elemento seleccionado para sincronizar.
PANTALLA	ViewModels/LibraryViewModel.swift	2367	Los elementos seleccionados todavía no están listos para sincronizar.
PANTALLA	ViewModels/LibraryViewModel.swift	2374	No hay nada listo para sincronizar.
PANTALLA	ViewModels/LibraryViewModel.swift	2379	Hay otra operación en curso con el iPod -- espera a que termine antes de sincronizar.
PANTALLA	ViewModels/LibraryViewModel.swift	2426	Sincronización cancelada. Se copiaron \(result.filesCopied) archivo(s); \(result.filesRemaining) quedaron pendientes.\(playlistsNote)
PANTALLA	ViewModels/LibraryViewModel.swift	2429	Ya estaba todo sincronizado, no habia nada nuevo.\(playlistsNote)
PANTALLA	ViewModels/LibraryViewModel.swift	2430	Se copiaron \(result.filesCopied) de \(allReady.count) archivo(s). El indice de la biblioteca se va a reconstruir la proxima vez que arranque Aura.\(playlistsNote)
PANTALLA	ViewModels/LibraryViewModel.swift	2443	\n… y \(result.failures.count - shown.count) más.
PANTALLA	ViewModels/LibraryViewModel.swift	2444	\(result.failures.count) archivo(s) no se pudieron copiar (el resto de la biblioteca sí se sincronizó):\n\(list)\(more)
PANTALLA	ViewModels/LibraryViewModel.swift	2459	No se pudo sincronizar en \(volumeRoot.path): \(error.localizedDescription)
PANTALLA	ViewModels/LibraryViewModel.swift	2481	Hay otra operación en curso con el iPod -- espera a que termine antes de borrar.
PANTALLA	ViewModels/LibraryViewModel.swift	2492	No había nada que borrar.
PANTALLA	ViewModels/LibraryViewModel.swift	2493	Se eliminaron \(deleted) archivo(s) del iPod. El índice de la biblioteca se va a reconstruir la próxima vez que arranque Aura.
PANTALLA	ViewModels/LibraryViewModel.swift	2495	No se pudo borrar en \(volumeRoot.path): \(error.localizedDescription)
PANTALLA	ViewModels/LibraryViewModel.swift	2571	No se pudo usar esa imagen para la playlist: \(error.localizedDescription)
PANTALLA	ViewModels/LibraryViewModel.swift	2816	Se normalizó 1 carátula: ahora es cuadrada.
PANTALLA	ViewModels/LibraryViewModel.swift	2817	Se normalizaron \(result.normalized) carátulas: ahora son cuadradas.
PANTALLA	Views/AlbumCoverPickerView.swift	146	Se aplicará a 1 canción del álbum.
PANTALLA	Views/AlbumCoverPickerView.swift	147	Se aplicará a \(request.trackCount) canciones del álbum.
PANTALLA	Views/AlbumCoverPickerView.swift	151	Cancelar el resto
PANTALLA	Views/AlbumsView.swift	76	Título
PANTALLA	Views/AlbumsView.swift	100	Sin álbum
PANTALLA	Views/AlbumsView.swift	358	Álbumes
PANTALLA	Views/AlbumsView.swift	365	Todavía no hay música en la biblioteca.
PANTALLA	Views/AlbumsView.swift	366	"Suelta canciones en \""Canciones\"" y aquí aparecerán agrupadas por álbum."
PANTALLA	Views/AlbumsView.swift	368	"Sin resultados para \""\(searchText)\""."
PANTALLA	Views/AlbumsView.swift	519	Marcar como favorito
PANTALLA	Views/AlbumsView.swift	574	Marcar como favorito
PANTALLA	Views/AlbumsView.swift	602	Eliminar álbumes
PANTALLA	Views/AlbumsView.swift	602	Eliminar álbum
PANTALLA	Views/AppMenuCommands.swift	152	Álbumes
PANTALLA	Views/AppMenuCommands.swift	155	Todos los videos
PANTALLA	Views/AppMenuCommands.swift	156	Películas
PANTALLA	Views/AppMenuCommands.swift	158	Todas las fotos
PANTALLA	Views/ArtistsView.swift	250	Marcar como favorito
PANTALLA	Views/ArtistsView.swift	330	Quitar favorito del álbum
PANTALLA	Views/ArtistsView.swift	330	Marcar álbum como favorito
PANTALLA	Views/ArtistsView.swift	387	Quitar de favoritos
PANTALLA	Views/ArtistsView.swift	387	Marcar como favorito
PANTALLA	Views/ArtistsView.swift	393	Quitar de favoritos
PANTALLA	Views/ArtistsView.swift	393	Marcar como favorito
PANTALLA	Views/ArtistsView.swift	413	Marcar como favorito
PANTALLA	Views/ArtistsView.swift	420	Buscar fotos de los artistas
PANTALLA	Views/ArtistsView.swift	420	Buscar foto del artista
PANTALLA	Views/ArtistsView.swift	427	Quitar fotos de los artistas
PANTALLA	Views/ArtistsView.swift	427	Quitar foto del artista
PANTALLA	Views/AwaitBootloaderUSBView.swift	26	"Deja el cable USB conectado. El iPod se reinicia solo y, como todavía no tiene Aura, su pantalla dice \""Bootloader USB mode\"" y aparece como disco."
PANTALLA	Views/AwaitBootloaderUSBView.swift	27	Si en unos 30 segundos la pantalla del iPod sigue negra o no aparece como disco, mantén SELECT + MENU unos 5 segundos para reiniciarlo, sin desconectar el cable.
PANTALLA	Views/AwaitBootloaderUSBView.swift	28	Aura Studio detecta el disco y copia Aura automáticamente -- no hay que tocar nada más.
PANTALLA	Views/BatchMediaInfoView.swift	212	Título
PANTALLA	Views/BatchMediaInfoView.swift	219	N.º de pista
PANTALLA	Views/BatchMediaInfoView.swift	219	Distinto por canción
PANTALLA	Views/BatchMediaInfoView.swift	234	Álbum
PANTALLA	Views/BatchMediaInfoView.swift	235	Artista del álbum
PANTALLA	Views/BatchMediaInfoView.swift	237	Género
PANTALLA	Views/ContentView.swift	289	El nombre de este iPod se puso desde otra Mac; solo desde ahí se puede cambiar.
PANTALLA	Views/ContentView.swift	299	No se pudo guardar el nombre en el iPod.
PANTALLA	Views/ContentView.swift	404	Imágenes
PANTALLA	Views/ContentView.swift	429	Usar esta carpeta
PANTALLA	Views/ContentView.swift	430	Elige (o crea) la carpeta donde vivira tu biblioteca Aura.
PANTALLA	Views/ContentView.swift	456	Elige archivos o carpetas para agregar a la biblioteca de Aura Studio.
PANTALLA	Views/ContentView.swift	466	Imágenes
PANTALLA	Views/ContentView.swift	502	No hay un iPod con firmware de la familia Aura conectado.
PANTALLA	Views/ContentView.swift	505	Hay una instalación en curso; espera a que termine.
PANTALLA	Views/ContentView.swift	513	\(f.displayName) no está instalado en el iPod; instálalo desde el Instalador.
PANTALLA	Views/ContentView.swift	515	No se pudo cambiar de firmware: \(error.localizedDescription)
PANTALLA	Views/ContentView.swift	696	Imágenes
PANTALLA	Views/ContentView.swift	802	Imágenes
PANTALLA	Views/CoverContaminationSheet.swift	45	Junto a música o video
PANTALLA	Views/CoverContaminationSheet.swift	45	Solo por el nombre
PANTALLA	Views/DeviceActivityBar.swift	88	Solo la selección (\(selectionCount))
PANTALLA	Views/DeviceActivityBar.swift	88	Solo la selección
PANTALLA	Views/DeviceActivityBar.swift	235	Música
PANTALLA	Views/DeviceGeneralView.swift	157	¿Eliminar \($0.label) del iPod?
PANTALLA	Views/DeviceGeneralView.swift	175	Disco expulsado. Ya puedes desconectar el cable.
PANTALLA	Views/DeviceGeneralView.swift	176	No se pudo expulsar -- cierra cualquier app que este usando el iPod y reintenta.
PANTALLA	Views/DeviceGeneralView.swift	227	El iPod no puede mostrar emoji; se guardó sin ellos.
PANTALLA	Views/DeviceGeneralView.swift	291	\(name) está al día con esta versión de Aura Studio.
PANTALLA	Views/DeviceGeneralView.swift	292	\(name) está al día.
PANTALLA	Views/DeviceGeneralView.swift	310	 (dual boot con Apple)
PANTALLA	Views/DeviceGeneralView.swift	323	)) también instalado, dormido
PANTALLA	Views/DeviceGeneralView.swift	326	Firmware \(name) instalado -- conectado desde \(name)
PANTALLA	Views/DeviceGeneralView.swift	328	Firmware de la familia Aura instalado -- conectado desde el firmware, todavía sin escribir su configuración
PANTALLA	Views/DeviceGeneralView.swift	330	Firmware \(name) instalado -- conectado desde el modo disco de Apple
PANTALLA	Views/DeviceGeneralView.swift	334	Archivos de la familia Aura en el disco, pero el iPod está corriendo el firmware de Apple y ese firmware nunca ha arrancado aquí -- no hay evidencia de que esté instalado
PANTALLA	Views/DeviceGeneralView.swift	336	Archivos de la familia Aura en el disco -- todavía sin arrancar (sin evidencia de que el bootloader esté instalado)
PANTALLA	Views/DeviceGeneralView.swift	341	Rockbox instalado (no es Aura) -- conectado desde Rockbox
PANTALLA	Views/DeviceGeneralView.swift	343	Rockbox instalado (no es Aura)
PANTALLA	Views/DeviceGeneralView.swift	345	Archivos de Rockbox en el disco (no es Aura), pero el iPod está corriendo el firmware de Apple y Rockbox nunca ha arrancado aquí
PANTALLA	Views/DeviceGeneralView.swift	347	Archivos de Rockbox en el disco (no es Aura) -- sin evidencia de arranque
PANTALLA	Views/DeviceGeneralView.swift	351	Firmware original de Apple en el disco -- pero el USB lo atiende el bootloader de Aura/Rockbox (modo USB del bootloader)
PANTALLA	Views/DeviceGeneralView.swift	352	Firmware original de Apple
PANTALLA	Views/DeviceGeneralView.swift	355	Disco vacío -- el USB lo atiende el bootloader de Aura/Rockbox (modo USB del bootloader)
PANTALLA	Views/DeviceGeneralView.swift	356	Disco vacio, sin firmware
PANTALLA	Views/DeviceGeneralView.swift	461	todo el contenido (música, videos y fotos)
PANTALLA	Views/DeviceGeneralView.swift	462	toda la música
PANTALLA	Views/DeviceGeneralView.swift	463	todos los videos
PANTALLA	Views/DeviceGeneralView.swift	464	todas las fotos
PANTALLA	Views/DeviceGeneralView.swift	465	el contenido seleccionado
PANTALLA	Views/DeviceGeneralView.swift	532	El iPod esta en modo DFU. Usa la seccion Instalador para instalar o restaurar el firmware.
PANTALLA	Views/DeviceGeneralView.swift	534	El disco del iPod no tiene un sistema de archivos legible. Usa la seccion Instalador para prepararlo e instalar Aura.
PANTALLA	Views/DeviceGeneralView.swift	536	Hay un dispositivo Apple conectado, pero no se pudo identificar como un iPod Classic.
PANTALLA	Views/DeviceGeneralView.swift	540	Conéctalo por USB y espera a que aparezca como disco.
PANTALLA	Views/DeviceNameField.swift	18	Nombre del iPod
PANTALLA	Views/DoneView.swift	32	iPod restaurado
PANTALLA	Views/DoneView.swift	42	Tu iPod va a reiniciar y arrancar con el firmware original de Apple. Ya puedes desconectar el cable.
PANTALLA	Views/DoneView.swift	44	"\(firmwareName) quedó instalado. Ya puedes desconectar el cable con seguridad. El iPod se quedó esperando en \""Bootloader USB mode\"": mantén SELECT + MENU unos 5 segundos para reiniciarlo y arranca co"
PANTALLA	Views/DoneView.swift	46	El arranque quedó actualizado. Tu música, tus fotos y tus ajustes siguen exactamente donde estaban -- esto no tocó el disco. Ya puedes desconectar el cable; si el iPod no reinicia solo, mantén SELECT 
PANTALLA	Views/DoneView.swift	48	Todos los archivos quedaron instalados: ya puedes desconectar el cable con seguridad. El iPod va a arrancar con \(firmwareName) -- si no reinicia solo, mantén SELECT + MENU unos segundos. Despues pued
PANTALLA	Views/DoneView.swift	120	Este iPod no está listo para dual boot
PANTALLA	Views/DoneView.swift	122	Error desconocido.
PANTALLA	Views/EnterDFUView.swift	25	Si tu iPod esta reproduciendo musica, deten la reproduccion.
PANTALLA	Views/EnterDFUView.swift	26	Manten presionados SELECT + MENU al mismo tiempo.
PANTALLA	Views/EnterDFUView.swift	27	Segui presionando ambos botones durante unos 12 segundos, hasta despues de que la pantalla se ponga negra.
PANTALLA	Views/EnterDFUView.swift	28	Soltalos. Aura Studio va a detectar el modo DFU automaticamente.
PANTALLA	Views/ExtrasView.swift	53	Conecta tu iPod con Aura instalado para instalar, activar o construir temas.
PANTALLA	Views/ExtrasView.swift	56	Este firmware no admite temas (\(device.declaredFamily.displayName) no tiene sistema de temas).
PANTALLA	Views/ExtrasView.swift	58	Tema integrado (Claro/Oscuro) más los que instales -- Ajustes > Estilo, en el iPod.
PANTALLA	Views/ExtrasView.swift	101	"Lenguaje visual \""Apple 2026\"": tipografías SF, temas claro/oscuro y temas instalables, Cover Flow."
PANTALLA	Views/ExtrasView.swift	108	Lenguaje visual Metro (Windows Phone 7 / Zune): tipografía Selawik, hub de tiles, acentos de color, transiciones de pivote.
PANTALLA	Views/ExtrasView.swift	115	Lenguaje visual Waning Crescent: calma nocturna, Material Design 3 adaptado al iPod, sin sistema de temas.
PANTALLA	Views/ExtrasView.swift	140	Las versiones son las más recientes publicadas en GitHub: instalar desde cero descarga esa.
PANTALLA	Views/ExtrasView.swift	141	No se pudo consultar GitHub (revisa el token en Ajustes › General): se muestran las versiones incluidas en Aura Studio, que son las que se instalarían.
PANTALLA	Views/ExtrasView.swift	234	Todos los firmwares son GPL v2. Aquí están sus fuentes, versiones exactas y cambios.
PANTALLA	Views/ExtrasView.swift	250	Animaciones y graficos
PANTALLA	Views/ExtrasView.swift	251	Tres niveles cada uno. Se eligen en Ajustes, en el iPod.
PANTALLA	Views/ExtrasView.swift	262	No implementados.
PANTALLA	Views/ExtrasView.swift	263	Cronometro y bloqueo de pantalla
PANTALLA	Views/ExtrasView.swift	264	No implementados.
PANTALLA	Views/GitHubTokenSettingsView.swift	64	Pega el token aquí (github_pat_… o ghp_…)
PANTALLA	Views/GitHubTokenSettingsView.swift	74	Token quitado del Llavero.
PANTALLA	Views/GitHubTokenSettingsView.swift	104	El token no es válido o expiró. Crea uno nuevo y guárdalo.
PANTALLA	Views/GitHubTokenSettingsView.swift	112	Pega el token en el campo antes de guardar.
PANTALLA	Views/GitHubTokenSettingsView.swift	116	Eso no parece un token de GitHub: debe empezar con github_pat_ o ghp_ y no llevar espacios.
PANTALLA	Views/GitHubTokenSettingsView.swift	124	Guardado en el Llavero.
PANTALLA	Views/GitHubTokenSettingsView.swift	136	GitHub rechazó el token: no es válido, expiró o no tiene acceso a Aura-Firmware.
PANTALLA	Views/GitHubTokenSettingsView.swift	138	Funciona. Versión más nueva de Aura: \(latest.tagName).
PANTALLA	Views/GitHubTokenSettingsView.swift	140	GitHub respondió, pero no hay ningún Release con versión reconocible.
PANTALLA	Views/GitHubTokenSettingsView.swift	146	No se pudo consultar GitHub (¿sin conexión, o se agotó el límite de peticiones sin token?): \(error.localizedDescription)
PANTALLA	Views/InstallerHomeView.swift	114	Esta versión trae un arranque más nuevo que el que tiene grabado tu iPod. No borra nada: tu música y tus ajustes se quedan igual.
PANTALLA	Views/InstallerHomeView.swift	115	Aura Studio no sabe qué versión del arranque tiene tu iPod (lo instaló otra computadora, o una versión anterior de la app). Actualizarlo no borra nada.
PANTALLA	Views/InstallerHomeView.swift	166	Tu iPod esta conectado, pero su disco no tiene un sistema de archivos legible -- instalar \(name) lo prepara desde cero.
PANTALLA	Views/InstallerHomeView.swift	169	Tu iPod esta conectado en modo DFU, listo para flashear.
PANTALLA	Views/InstallerHomeView.swift	172	Instala el firmware \(name) en tu iPod Classic 6G, o restaura el firmware original si quieres volver atras.
PANTALLA	Views/InstallerHomeView.swift	179	Tu iPod tiene el firmware original de Apple en el disco, pero el USB lo atiende el bootloader de Aura/Rockbox.
PANTALLA	Views/InstallerHomeView.swift	180	Tu iPod tiene el firmware original de Apple.
PANTALLA	Views/InstallerHomeView.swift	185	, en dual boot con el firmware original de Apple
PANTALLA	Views/InstallerHomeView.swift	187	Tu iPod ya tiene \(installed) instalado\(dual).
PANTALLA	Views/InstallerHomeView.swift	189	Tu iPod tiene \(installed) instalado\(dual). Instalar \(name) lo reemplaza.
PANTALLA	Views/InstallerHomeView.swift	192	Tu iPod tiene archivos de Aura en el disco, pero está corriendo el firmware de Apple y Aura nunca ha arrancado aquí -- no hay evidencia de que esté instalado.
PANTALLA	Views/InstallerHomeView.swift	193	Tu iPod tiene archivos de Aura en el disco, pero Aura nunca ha arrancado aquí -- no hay evidencia de que esté instalado.
PANTALLA	Views/InstallerHomeView.swift	196	Tu iPod tiene Rockbox instalado (no es Aura), en dual boot con el firmware original.
PANTALLA	Views/InstallerHomeView.swift	197	Tu iPod tiene Rockbox instalado (no es Aura).
PANTALLA	Views/InstallerHomeView.swift	199	Tu iPod tiene archivos de Rockbox en el disco (no es Aura), sin evidencia de que arranquen.
PANTALLA	Views/InstallerHomeView.swift	202	El disco de tu iPod esta vacio, pero el USB lo atiende el bootloader de Aura/Rockbox.
PANTALLA	Views/InstallerHomeView.swift	203	El disco de tu iPod esta vacio, sin ningun firmware.
PANTALLA	Views/InstallerHomeView.swift	220	Reinstalar solo reemplaza los archivos del firmware en el disco -- no hace falta flashear por DFU. Tus ajustes de \(name) se conservan. Si al terminar tu iPod no arranca con \(name), la pantalla final
PANTALLA	Views/InstallerHomeView.swift	221	Reinstalar reemplaza los archivos del firmware y, como Aura Studio no puede confirmar desde aquí que el bootloader siga grabado, vuelve a flashear el arranque por DFU (reflashear es inofensivo). Tus a
PANTALLA	Views/InstallerHomeView.swift	229	Instalar \(name) reemplaza \(installed) en el disco -- no hace falta flashear por DFU, es el mismo arranque. Tu música y tus fotos no se tocan; los ajustes de \(installed) se pierden.
PANTALLA	Views/InstallerHomeView.swift	230	Instalar \(name) reemplaza \(installed) en el disco y vuelve a flashear el arranque por DFU, porque Aura Studio no puede confirmar desde aquí que el bootloader siga grabado (reflashear es inofensivo).
PANTALLA	Views/InstallerHomeView.swift	232	Hay archivos de Aura en el disco pero ninguna evidencia de que arranquen: instalar flashea el arranque por modo DFU y vuelve a copiar los archivos -- el asistente te guia paso a paso.
PANTALLA	Views/InstallerHomeView.swift	235	Instalar \(name) no requiere flashear ni entrar a modo DFU: solo se reemplaza la carpeta .rockbox del disco por la de \(name).
PANTALLA	Views/InstallerHomeView.swift	236	Instalar \(name) reemplaza la carpeta .rockbox del disco por la de \(name) y flashea el arranque por modo DFU, porque no hay evidencia suficiente de que el bootloader ya esté grabado. Para saltarte el
PANTALLA	Views/InstallerHomeView.swift	239	El bootloader de Aura/Rockbox ya está atendiendo el USB: instalar solo copia los archivos, sin flashear.
PANTALLA	Views/InstallerHomeView.swift	240	Instalar \(name) requiere flashear el arranque por modo DFU -- el asistente te guia paso a paso.
PANTALLA	Views/InstallerHomeView.swift	243	El bootloader de Aura/Rockbox ya está atendiendo el USB: instalar solo copia los archivos, sin flashear.
PANTALLA	Views/InstallerWizardView.swift	92	Preparando el disco
PANTALLA	Views/InstallerWizardView.swift	96	Preparando para Finder
PANTALLA	Views/InstallingView.swift	10	Restaurando iPod original...
PANTALLA	Views/InstallingView.swift	13	Actualizando el arranque...
PANTALLA	Views/LibraryBrowsingComponents.swift	524	Quitar de la selección
PANTALLA	Views/LibraryBrowsingComponents.swift	524	Agregar a la selección
PANTALLA	Views/LibraryBrowsingComponents.swift	525	Quitar de la selección
PANTALLA	Views/LibraryBrowsingComponents.swift	525	Agregar a la selección
PANTALLA	Views/LibraryBrowsingComponents.swift	539	Buscar en \(scopeTitle)
PANTALLA	Views/LibraryUnavailableView.swift	35	El disco «\($0)» no está conectado
PANTALLA	Views/LibraryUnavailableView.swift	36	La biblioteca está en un disco que no está conectado
PANTALLA	Views/LicensesView.swift	49	Texto de la GPL v2
PANTALLA	Views/LicensesView.swift	86	Código fuente
PANTALLA	Views/LicensesView.swift	89	Fuente exacta de esta versión (\(tag))
PANTALLA	Views/LicensesView.swift	97	Avisos de terceros (tipografías e iconos)
PANTALLA	Views/MainWindowPlacer.swift	112	(\(Int(rect.origin.x)), \(Int(rect.origin.y)) \(Int(rect.width))×\(Int(rect.height)))
PANTALLA	Views/MediaInfoView.swift	163	Título
PANTALLA	Views/MediaInfoView.swift	165	Álbum
PANTALLA	Views/MediaInfoView.swift	166	Artista del álbum (opcional)
PANTALLA	Views/MediaInfoView.swift	167	Número de pista (opcional)
PANTALLA	Views/MediaInfoView.swift	171	Año (opcional)
PANTALLA	Views/MediaInfoView.swift	172	Género (opcional)
PANTALLA	Views/MediaInfoView.swift	205	Título
PANTALLA	Views/MediaInfoView.swift	207	Nombre de la serie
PANTALLA	Views/MediaInfoView.swift	245	Ubicación
PANTALLA	Views/MediaInfoView.swift	247	Tamaño
PANTALLA	Views/MediaInfoView.swift	249	Duración
PANTALLA	Views/MediaInfoView.swift	277	En cola
PANTALLA	Views/MediaInfoView.swift	278	Buscando información...
PANTALLA	Views/MediaInfoView.swift	280	Listo para sincronizar
PANTALLA	Views/MediaInfoView.swift	281	Falta completar información
PANTALLA	Views/MediaInfoView.swift	282	Error: \(message)
PANTALLA	Views/MediaSectionView.swift	105	Buscando información en línea...
PANTALLA	Views/MediaSectionView.swift	527	Leyendo etiquetas del archivo...
PANTALLA	Views/MediaSectionView.swift	591	Buscando información en línea...
PANTALLA	Views/MediaSectionView.swift	644	Título
PANTALLA	Views/MediaSectionView.swift	700	Quitar de favoritos
PANTALLA	Views/MediaSectionView.swift	700	Marcar como favorito
PANTALLA	Views/MediaSectionView.swift	723	Todas las canciones
PANTALLA	Views/MediaSectionView.swift	730	Opciones para ordenar
PANTALLA	Views/MediaSectionView.swift	732	Mostrar opciones de visualización
PANTALLA	Views/MediaSectionView.swift	745	No hay favoritos todavía.
PANTALLA	Views/MediaSectionView.swift	745	"Sin resultados para \""\(searchText)\""."
PANTALLA	Views/MediaSectionView.swift	803	Título
PANTALLA	Views/MediaSectionView.swift	805	Categoría
PANTALLA	Views/MediaSectionView.swift	805	Sin categoría
PANTALLA	Views/MediaSectionView.swift	807	Duración
PANTALLA	Views/MediaSectionView.swift	814	Tamaño
PANTALLA	Views/MediaSectionView.swift	1017	Leyendo etiquetas del archivo...
PANTALLA	Views/MediaSectionView.swift	1066	Buscando pósters en línea...
PANTALLA	Views/MediaSectionView.swift	1183	Suelta archivos aqui
PANTALLA	Views/MediaSectionView.swift	1239	Imágenes
PANTALLA	Views/MediaSectionView.swift	1371	Tamaño
PANTALLA	Views/MediaSectionView.swift	1438	Nombre del álbum
PANTALLA	Views/MediaSectionView.swift	1485	Álbum (opcional)
PANTALLA	Views/MoviesView.swift	70	Título
PANTALLA	Views/MoviesView.swift	245	Películas
PANTALLA	Views/MoviesView.swift	252	Todavía no hay películas en la biblioteca.
PANTALLA	Views/MoviesView.swift	253	"Arrastra videos a \""Películas\"" en la barra lateral y aquí aparecerán con su póster."
PANTALLA	Views/MoviesView.swift	255	"Sin resultados para \""\(searchText)\""."
PANTALLA	Views/MoviesView.swift	426	Marcar como favorito
PANTALLA	Views/MoviesView.swift	443	Eliminar películas
PANTALLA	Views/MoviesView.swift	443	Eliminar película
PANTALLA	Views/MusicSettingsView.swift	102	Nombre del artista tal como aparece
PANTALLA	Views/MusicSettingsView.swift	139	Music/Artista/Álbum/ -- una carpeta por álbum dentro de cada artista.
PANTALLA	Views/MusicSettingsView.swift	140	Music/Álbum/ -- todas las canciones agrupadas solo por álbum, sin carpeta de artista.
PANTALLA	Views/MusicSettingsView.swift	141	Music/Artista/ -- todas las canciones del artista juntas, sin carpeta de álbum.
PANTALLA	Views/PermissionsView.swift	21	Aura Studio necesita ver y desmontar el iPod apenas lo conectas -- si no, macOS lo deja montado en Finder y el instalador no puede escribir en el. macOS pide confirmar esto la primera vez que la app i
PANTALLA	Views/PermissionsView.swift	26	Acceso total al disco (opcional, recomendado)
PANTALLA	Views/PermissionsView.swift	27	Si macOS bloquea la lectura/escritura del iPod incluso despues de aceptar el permiso anterior, activa Acceso total al disco para Aura Studio en Ajustes del Sistema > Privacidad y Seguridad. Es un perm
PANTALLA	Views/PermissionsView.swift	32	Contraseña de administrador (en pasos puntuales)
PANTALLA	Views/PermissionsView.swift	33	En algunos pasos -- pausar servicios que interfieren con la deteccion del iPod, o preparar el disco antes de instalar -- macOS te va a pedir tu contraseña con su propio dialogo nativo. Aura Studio sie
PANTALLA	Views/PhotoAlbumsView.swift	275	Suelta fotos aquí
PANTALLA	Views/PhotoAlbumsView.swift	279	Suelta fotos aquí
PANTALLA	Views/PhotoAlbumsView.swift	284	"Sin resultados para \""\(searchText)\""."
PANTALLA	Views/PhotoAlbumsView.swift	396	Disolver álbumes
PANTALLA	Views/PhotoAlbumsView.swift	396	Disolver álbum
PANTALLA	Views/PhotoAlbumsView.swift	448	Suelta fotos aquí para agregarlas a este álbum
PANTALLA	Views/PhotoAlbumsView.swift	454	Este álbum se quedó sin fotos.
PANTALLA	Views/PhotoAlbumsView.swift	560	Nombre del álbum
PANTALLA	Views/PhotoSettingsView.swift	62	Nueva colección
PANTALLA	Views/PlaylistsView.swift	102	Elige una playlist M3U/M3U8 exportada de otro programa o servicio.
PANTALLA	Views/PlaylistsView.swift	106	No se pudo leer \(fileURL.lastPathComponent).
PANTALLA	Views/PlaylistsView.swift	111	\(fileURL.lastPathComponent) no tiene pistas.
PANTALLA	Views/PlaylistsView.swift	118	"\""\(name)\"" importada: \(result.matchedCount) de \(paths.count) pista(s) ligadas."
PANTALLA	Views/PlaylistsView.swift	119	"\""\(name)\"" importada: \(result.matchedCount) de \(paths.count) pista(s) ligadas. \(result.unmatchedPaths.count) no están en tu biblioteca Aura todavía -- suéltalas en Música y vuelve a importar para "
PANTALLA	Views/PlaylistsView.swift	259	Elige una imagen para esta playlist.
PANTALLA	Views/RestoreHandoffView.swift	24	Cierra Aura Studio con el boton de abajo -- si sigue abierto, su deteccion USB puede interferir con Finder.
PANTALLA	Views/RestoreHandoffView.swift	25	Abre una ventana de Finder: el iPod aparece en la barra lateral, bajo Ubicaciones.
PANTALLA	Views/RestoreHandoffView.swift	26	"Selecciona el iPod y elige \""Restaurar iPod...\"" -- Finder descarga e instala el firmware original de Apple."
PANTALLA	Views/SeriesView.swift	224	Todavía no hay series en la biblioteca.
PANTALLA	Views/SeriesView.swift	225	"Arrastra episodios a \""Series\"" en la barra lateral -- si el nombre trae SxxEyy se agrupan solos."
PANTALLA	Views/SeriesView.swift	227	"Sin resultados para \""\(searchText)\""."
PANTALLA	Views/SeriesView.swift	410	Sin temporada
PANTALLA	Views/SeriesView.swift	461	Marcar como favorito
PANTALLA	Views/SeriesView.swift	494	Marcar como favorito
PANTALLA	Views/ServicesSettingsView.swift	41	Metadata: artista, album, ano, numero de pista
PANTALLA	Views/ServicesSettingsView.swift	42	Base abierta y colaborativa, datos en CC0. Sin key. Limite estricto de 1 pedido por segundo, ya respetado por la app.
PANTALLA	Views/ServicesSettingsView.swift	48	Caratulas de album
PANTALLA	Views/ServicesSettingsView.swift	49	Sin key y sin limite de tasa. Primer intento para caratula (ver orden de busqueda abajo).
PANTALLA	Views/ServicesSettingsView.swift	56	Sin key ni registro. Devuelve LRC real con tiempos. Codigo abierto MIT.
PANTALLA	Views/ServicesSettingsView.swift	113	sin key configurada abajo
PANTALLA	Views/ServicesSettingsView.swift	142	Musica, video y audio de dominio publico
PANTALLA	Views/ServicesSettingsView.swift	143	Sin key para buscar y descargar. Sirve para ENCONTRAR contenido nuevo de dominio publico, no para completar metadata de tu biblioteca -- todavia no tiene ninguna integracion en Aura Studio.
PANTALLA	Views/ServicesSettingsView.swift	149	Fotos con licencia libre
PANTALLA	Views/ServicesSettingsView.swift	150	Sin registro. Mismo caso que Internet Archive: es para buscar fotos nuevas, no para enriquecer canciones -- todavia sin conectar.
PANTALLA	Views/ServicesSettingsView.swift	165	Su API oficial no tiene letras, ni sincronizadas ni planas: la unica via es scrapear la web, contra sus terminos.
PANTALLA	Views/ServicesSettingsView.swift	172	El plan gratuito solo devuelve un fragmento de vista previa; las letras completas y sincronizadas requieren licencia comercial paga.
PANTALLA	Views/ServicesSettingsView.swift	178	Metadata y caratulas
PANTALLA	Views/ServicesSettingsView.swift	179	Exige OAuth y, desde 2026, cuenta Premium activa del desarrollador con usuarios en lista blanca. Inviable para una app personal.
PANTALLA	Views/ServicesSettingsView.swift	186	Sus terminos excluyen expresamente las imagenes y el arte de album del uso permitido de la API.
