clave,motivo,texto es,texto ja,texto de,texto ru,texto fr
installer-wizard-view.detener-proceso,acción de riesgo,¿Detener el proceso?,処理を停止しますか？,Vorgang stoppen?,Остановить процесс?,Arrêter le processus ?
installer-wizard-view.detener-proceso-mitad-puede-dejar-disco,acción de riesgo,"Detener el proceso a la mitad puede dejar el disco del iPod con errores. Si eso pasa, vuelve a correr el instalador para repararlo.",途中で停止すると、iPod のディスクにエラーが残ることがあります。その場合は、もう一度インストーラを実行すると修復できます。,"Ein Abbruch mittendrin kann die Festplatte des iPods fehlerhaft zurücklassen. Falls das passiert, starte das Installationsprogramm erneut, um sie zu reparieren.","Остановка на середине может оставить диск iPod с ошибками. Если это произойдёт, запустите установщик снова, чтобы его восстановить.","Arrêter en cours de route peut laisser le disque de l’iPod avec des erreurs. Si cela arrive, relancez le programme d’installation pour le réparer."
library-browsing-components.borrar-busqueda,texto de riesgo,Borrar búsqueda,検索をクリア,Suche löschen,Очистить поиск,Effacer la recherche
library-unavailable-view.crear-nueva,compartida con Windows,Crear una nueva,新規作成,Neue anlegen,Создать новую,En créer une
library-unavailable-view.elegir-otra-biblioteca,compartida con Windows,Elegir otra biblioteca...,別のライブラリを選択…,Andere Mediathek wählen …,Выбрать другую медиатеку…,Choisir une autre bibliothèque…
library-unavailable-view.instalador-extras-siguen-funcionando-sin,compartida con Windows,El Instalador y Extras siguen funcionando sin la biblioteca.,「インストーラ」と「その他」はライブラリがなくても使えます。,Installation und Extras funktionieren auch ohne Mediathek.,«Установка» и «Дополнения» работают и без медиатеки.,L’Installation et les Extras fonctionnent toujours sans la bibliothèque.
library-unavailable-view.no-se-perdio-nada-tu-catalogo,compartida con Windows,No se perdió nada: tu catálogo y tus archivos siguen en ese disco. Aura Studio no va a tocar nada hasta que vuelva a estar disponible.,何も失われていません。カタログもファイルもそのディスクに残っています。再び利用できるようになるまで、Aura Studio は何も触りません。,"Es ist nichts verloren: Dein Katalog und deine Dateien liegen weiterhin auf dieser Festplatte. Aura Studio rührt nichts an, bis sie wieder verfügbar ist.","Ничего не потеряно: ваш каталог и файлы остаются на этом диске. Aura Studio ничего не тронет, пока он снова не станет доступен.",Rien n’est perdu : votre catalogue et vos fichiers sont toujours sur ce disque. Aura Studio n’y touchera pas tant qu’il ne sera pas de nouveau disponible.
library-view-model.eliminar-copia-papelera,acción de riesgo,Se moverán %1$@ a la Papelera (%2$@). Puedes recuperarlos desde ahí.,%1$@ をゴミ箱に移動します（%2$@）。そこから元に戻せます。,%1$@ werden in den Papierkorb verschoben (%2$@). Von dort kannst du sie zurückholen.,%1$@ будут перемещены в Корзину (%2$@). Оттуда их можно восстановить.,%1$@ seront déplacés vers la Corbeille (%2$@). Vous pourrez les récupérer depuis là.
library-view-model.eliminar-referencia-uno,acción de riesgo,Se quitará de tu biblioteca de Aura. El archivo original se queda donde está.,Aura のライブラリから取り除かれます。元のファイルはそのままです。,"Es wird aus deiner Aura-Mediathek entfernt. Die Originaldatei bleibt, wo sie ist.",Он будет убран из вашей медиатеки Aura. Исходный файл останется на месте.,Il sera retiré de votre bibliothèque Aura. Le fichier d’origine reste où il est.
library-view-model.eliminar-referencia-varios,acción de riesgo,Se quitarán de tu biblioteca de Aura. Los archivos originales se quedan donde están.,Aura のライブラリから取り除かれます。元のファイルはそのままです。,"Sie werden aus deiner Aura-Mediathek entfernt. Die Originaldateien bleiben, wo sie sind.",Они будут убраны из вашей медиатеки Aura. Исходные файлы останутся на месте.,Ils seront retirés de votre bibliothèque Aura. Les fichiers d’origine restent où ils sont.
library-view-model.plural.convertidas,texto de riesgo,%lld canciones convertidas en copias,%lld 曲をコピーに変換しました,%lld Titel in Kopien umgewandelt,%lld трека превращены в копии,%lld morceaux convertis en copies
library-view-model.plural.eliminar-titulo,texto de riesgo,¿Eliminar %lld elementos?,%lld 件の項目を削除しますか？,%lld Objekte löschen?,Удалить %lld объекта?,Supprimer %lld éléments ?
licenses-view.aura-studio-es-gratuita-se-distribuye,texto de riesgo,"Aura Studio es gratuita y se distribuye sin fines comerciales. Trae embebidos, tal cual se publicaron y sin modificarlos, los firmwares instalables para iPod Classic 6G, todos software libre bajo la Licencia Pública General de GNU versión 2 (GPL v2). Cada uno es un derivado de Rockbox; su código fuente completo, la versión exacta incluida aquí y el registro de cambios respecto a Rockbox están en los enlaces de abajo, como exige la sección 3 de esa licencia.",Aura Studio は無料で、非商用で配布されています。iPod Classic 6G 用のインストール可能なファームウェアを、公開されたそのままの形で変更せずに同梱しています。いずれも GNU 一般公衆利用許諾契約書バージョン 2（GPL v2）のもとで公開された自由ソフトウェアです。各ファームウェアは Rockbox から派生しており、その完全なソースコード、ここに含まれる正確なバージョン、Rockbox からの変更点の記録は、同ライセンス第 3 条の要求どおり下記のリンクにあります。,"Aura Studio ist kostenlos und wird nicht kommerziell vertrieben. Es enthält, genau so veröffentlicht und unverändert, die installierbaren Firmwares für den iPod Classic 6G, allesamt freie Software unter der GNU General Public License Version 2 (GPL v2). Jede davon ist von Rockbox abgeleitet; ihr vollständiger Quellcode, die hier enthaltene Version und das Verzeichnis der Änderungen gegenüber Rockbox stehen in den Links unten, wie es Abschnitt 3 dieser Lizenz verlangt.","Aura Studio бесплатна и распространяется без коммерческих целей. В неё встроены — ровно в том виде, в каком были опубликованы, и без изменений — устанавливаемые прошивки для iPod Classic 6G, все они являются свободным ПО под GNU General Public License версии 2 (GPL v2). Каждая производна от Rockbox; её полный исходный код, точная включённая здесь версия и перечень изменений относительно Rockbox доступны по ссылкам ниже, как того требует раздел 3 этой лицензии.","Aura Studio est gratuit et distribué sans but commercial. Il embarque, tels qu’ils ont été publiés et sans modification, les firmwares installables pour l’iPod Classic 6G, tous des logiciels libres sous la Licence publique générale GNU version 2 (GPL v2). Chacun dérive de Rockbox ; son code source complet, la version exacte incluse ici et le relevé des modifications par rapport à Rockbox figurent dans les liens ci-dessous, comme l’exige la section 3 de cette licence."
licenses-view.todos-firmwares-su-bootloader-dual-boot,texto de riesgo,"Todos los firmwares, su bootloader dual-boot y la herramienta de flasheo mks5lboot derivan del proyecto Rockbox (GPL v2). Aura Studio no modifica ninguno de esos binarios.",すべてのファームウェア、そのデュアルブート用ブートローダー、書き込みツール mks5lboot は Rockbox プロジェクト（GPL v2）に由来します。Aura Studio はこれらのバイナリを一切変更していません。,"Alle Firmwares, ihr Dual-Boot-Bootloader und das Flash-Werkzeug mks5lboot stammen vom Rockbox-Projekt (GPL v2). Aura Studio verändert keine dieser Binärdateien.","Все прошивки, их загрузчик двойной загрузки и инструмент прошивки mks5lboot происходят из проекта Rockbox (GPL v2). Aura Studio не изменяет ни один из этих двоичных файлов.","Tous les firmwares, leur bootloader dual-boot et l’outil de flashage mks5lboot dérivent du projet Rockbox (GPL v2). Aura Studio ne modifie aucun de ces binaires."
media-info-view.nombre-destino-ipod-se-arma-con,texto de riesgo,El nombre de destino en el iPod se arma con estos tres campos -- cambiarlos y sincronizar de nuevo reagrupa el episodio en Movie Flow.,iPod 上のファイル名はこの 3 つの項目から作られます。変更して同期し直すと、Movie Flow でエピソードがまとめ直されます。,"Der Zielname auf dem iPod wird aus diesen drei Feldern gebildet – wenn du sie änderst und erneut synchronisierst, wird die Folge in Movie Flow neu gruppiert.","Имя файла на iPod складывается из этих трёх полей — если изменить их и синхронизировать снова, серия перегруппируется в Movie Flow.",Le nom de destination sur l’iPod se construit à partir de ces trois champs — les modifier puis resynchroniser regroupe l’épisode dans Movie Flow.
media-info-view.se-sincroniza-con-ipod-misma-calificacio,texto de riesgo,"Se sincroniza con el iPod: la misma calificación que se elige acá o en ""Ahora suena"" del aparato.",iPod と同期します。ここで付ける評価と、本体の「再生中」で付ける評価は同じものです。,"Wird mit dem iPod synchronisiert: dieselbe Bewertung, die du hier oder unter „Aktueller Titel“ am Gerät vergibst.","Синхронизируется с iPod: та же оценка, что вы ставите здесь или в разделе «Сейчас играет» на устройстве.",Se synchronise avec l’iPod : la même note que celle choisie ici ou dans « En cours de lecture » sur l’appareil.
media-info-view.titulo-artista-album-son-obligatorios-pa,texto de riesgo,"Título, artista y álbum son obligatorios para sincronizar.",同期にはタイトル、アーティスト、アルバムが必要です。,"Titel, Interpret und Album sind zum Synchronisieren erforderlich.","Название, исполнитель и альбом обязательны для синхронизации.","Le titre, l’artiste et l’album sont obligatoires pour synchroniser."
media-section-view.eliminar-caratula,texto de riesgo,Eliminar carátula,アートワークを削除,Cover löschen,Удалить обложку,Supprimer la pochette
media-section-view.este-archivo-cambio-ipod-fuera-aura,texto de riesgo,Este archivo cambió en el iPod fuera de Aura Studio. La próxima vez que sincronices podrás elegir si lo conservas o lo reemplazas con la versión de tu biblioteca.,このファイルは Aura Studio 以外で iPod 上で変更されました。次に同期するとき、そのまま残すかライブラリの内容で置き換えるかを選べます。,"Diese Datei hat sich auf dem iPod außerhalb von Aura Studio geändert. Beim nächsten Synchronisieren kannst du wählen, ob du sie behältst oder durch die Version aus deiner Mediathek ersetzt.","Этот файл изменился на iPod вне Aura Studio. При следующей синхронизации вы сможете выбрать, оставить его или заменить версией из вашей медиатеки.","Ce fichier a changé sur l’iPod en dehors d’Aura Studio. À la prochaine synchronisation, vous pourrez choisir de le conserver ou de le remplacer par la version de votre bibliothèque."
media-section-view.para-convertir-videos-al-formato-ipod,texto de riesgo,"Para convertir videos al formato del iPod hace falta ffmpeg. Instálalo con Homebrew (""brew install ffmpeg"") y vuelve a intentar.",ビデオを iPod の形式に変換するには ffmpeg が必要です。Homebrew でインストールして（「brew install ffmpeg」）、もう一度お試しください。,Zum Umwandeln von Videos in das iPod-Format wird ffmpeg gebraucht. Installier es mit Homebrew („brew install ffmpeg“) und versuch es erneut.,Для преобразования видео в формат iPod нужен ffmpeg. Установите его через Homebrew («brew install ffmpeg») и повторите.,Convertir des vidéos au format de l’iPod nécessite ffmpeg. Installez-le avec Homebrew (« brew install ffmpeg ») et réessayez.
media-section-view.quitar-favoritos,texto de riesgo,Quitar de favoritos,お気に入りから外す,Aus Favoriten entfernen,Убрать из избранного,Retirer des favoris
media-section-view.quitar-poster,texto de riesgo,Quitar póster,ポスターを外す,Poster entfernen,Убрать постер,Retirer l’affiche
media-section-view.se-quito-ipod-fuera-aura-studio,texto de riesgo,"Se quitó del iPod fuera de Aura Studio -- no se vuelve a copiar solo. Usa ""Sincronizar la selección"" en el menú contextual para volver a copiarlo.",Aura Studio 以外で iPod から削除されました。自動では再コピーされません。コンテキストメニューの「選択項目を同期」でコピーし直せます。,"Es wurde außerhalb von Aura Studio vom iPod entfernt – es wird nicht von selbst wieder kopiert. Nimm „Auswahl synchronisieren“ im Kontextmenü, um es zurückzukopieren.","Он был убран с iPod вне Aura Studio — сам он заново не скопируется. Используйте «Синхронизировать выбранное» в контекстном меню, чтобы скопировать его обратно.",Il a été retiré de l’iPod en dehors d’Aura Studio — il ne sera pas recopié tout seul. Utilisez « Synchroniser la sélection » dans le menu contextuel pour le recopier.
media-section-view.sincronizado,texto de riesgo,Sincronizado,同期済み,Synchronisiert,Синхронизирован,Synchronisé
media-section-view.sincronizar-seleccion,texto de riesgo,Sincronizar la selección,選択項目を同期,Auswahl synchronisieren,Синхронизировать выбранное,Synchroniser la sélection
music-settings-view.calidad-audio,compartida con Windows,Calidad de audio,オーディオ品質,Audioqualität,Качество звука,Qualité audio
music-settings-view.comprimir-mp3-buena-calidad,compartida con Windows,Comprimir a MP3 de buena calidad,高音質の MP3 に圧縮,In MP3 mit guter Qualität umwandeln,Сжимать в MP3 хорошего качества,Compresser en MP3 de bonne qualité
music-settings-view.mantener-formato-original-recomendado,acción de riesgo,Mantener formato original (recomendado),元の形式のまま（推奨）,Originalformat beibehalten (empfohlen),Сохранять исходный формат (рекомендуется),Conserver le format d’origine (recommandé)
music-settings-view.quitar-excepciones,texto de riesgo,Quitar «%@» de las excepciones,「%@」を例外から外す,„%@“ aus den Ausnahmen entfernen,Убрать «%@» из исключений,Retirer « %@ » des exceptions
orphans-button,compartida con Windows,Buscar huérfanos,孤立ファイルを探す,Verwaiste Dateien suchen,Найти потерянные файлы,Chercher les orphelins
orphans-clean-button,compartida con Windows,Limpiar archivos huérfanos,孤立ファイルを整理,Verwaiste Dateien aufräumen,Очистить потерянные файлы,Nettoyer les fichiers orphelins
orphans-confirm-message,compartida con Windows,"No están ligados a ningún elemento de tu biblioteca; borrarlos no afecta ninguna canción, foto ni video que tengas.",これらはライブラリのどの項目にも結び付いていません。削除しても、お持ちの曲・写真・ビデオには影響しません。,"Sie gehören zu keinem Objekt deiner Mediathek; sie zu löschen betrifft keinen Titel, kein Foto und kein Video, das du hast.","Они не связаны ни с одним объектом вашей медиатеки; их удаление не затронет ни один трек, фото или видео.","Ils ne sont liés à aucun élément de votre bibliothèque ; les supprimer n’affecte aucun morceau, photo ou vidéo que vous possédez."
orphans-detail,compartida con Windows,"Preparados y carátulas que ya no le pertenecen a ningún elemento de tu biblioteca — de elementos eliminados antes de esta versión, o de un reprocesamiento. No son tus archivos originales: son copias técnicas que Aura arma sola y puede volver a armar si hicieran falta.",ライブラリのどの項目にも属さなくなった準備済みファイルとアートワークです。このバージョンより前に削除された項目や、再処理の結果として残ったものです。元のファイルではありません。Aura が自分で作る技術的なコピーで、必要になればまた作れます。,"Vorbereitete Dateien und Cover, die zu keinem Objekt deiner Mediathek mehr gehören – von Objekten, die vor dieser Version gelöscht wurden, oder von einer erneuten Verarbeitung. Es sind nicht deine Originaldateien: Es sind technische Kopien, die Aura selbst anlegt und bei Bedarf neu anlegen kann.","Подготовленные файлы и обложки, которые больше не принадлежат ни одному объекту вашей медиатеки — от объектов, удалённых до этой версии, или после повторной обработки. Это не ваши исходные файлы: это технические копии, которые Aura создаёт сама и при необходимости создаст заново.","Fichiers préparés et pochettes qui n’appartiennent plus à aucun élément de votre bibliothèque — issus d’éléments supprimés avant cette version, ou d’un retraitement. Ce ne sont pas vos fichiers d’origine : ce sont des copies techniques qu’Aura crée seul et peut recréer si besoin."
orphans-none-found,compartida con Windows,No hay archivos huérfanos: no hace falta limpiar nada.,孤立ファイルはありません。整理するものはありません。,Es gibt keine verwaisten Dateien: Es ist nichts aufzuräumen.,Потерянных файлов нет: чистить нечего.,Il n’y a pas de fichiers orphelins : rien à nettoyer.
orphans-title,compartida con Windows,Archivos huérfanos,孤立ファイル,Verwaiste Dateien,Потерянные файлы,Fichiers orphelins
permissions-view.abrir-ajustes-sistema-privacidad-segurid,acción de riesgo,Abrir Ajustes del Sistema (Privacidad y Seguridad),システム設定（プライバシーとセキュリティ）を開く,Systemeinstellungen öffnen (Datenschutz & Sicherheit),Открыть Системные настройки («Конфиденциальность и безопасность»),Ouvrir Réglages Système (Confidentialité et sécurité)
permissions-view.permisos-necesarios,acción de riesgo,Permisos necesarios,必要な許可,Benötigte Berechtigungen,Необходимые разрешения,Autorisations nécessaires
photo-albums-view.eliminar-biblioteca,texto de riesgo,Eliminar de la biblioteca,ライブラリから削除,Aus der Mediathek löschen,Удалить из медиатеки,Supprimer de la bibliothèque
photo-albums-view.eliminar-fotos-biblioteca,texto de riesgo,Eliminar fotos de la biblioteca,写真をライブラリから削除,Fotos aus der Mediathek löschen,Удалить фото из медиатеки,Supprimer les photos de la bibliothèque
photo-albums-view.quitar-album,texto de riesgo,Quitar del álbum,アルバムから外す,Aus dem Album entfernen,Убрать из альбома,Retirer de l’album
photo-settings-view.calidad-imagen,acción de riesgo,Calidad de imagen,画質,Bildqualität,Качество изображения,Qualité d’image
photo-settings-view.optimizar-espacio-320px-recomendado,acción de riesgo,"Optimizar espacio (320px, recomendado)",容量を節約（320px、推奨）,"Platz sparen (320 px, empfohlen)","Экономить место (320 px, рекомендуется)","Économiser l’espace (320 px, recommandé)"
photo-settings-view.organizar-por-coleccion-biblioteca,acción de riesgo,Organizar por colección en la biblioteca,ライブラリでコレクションごとに整理,In der Mediathek nach Sammlung ordnen,Упорядочивать по коллекциям в медиатеке,Organiser par collection dans la bibliothèque
photo-settings-view.pantalla-ipod-es-320x240-foto-camara,acción de riesgo,"La pantalla del iPod es de 320x240 -- una foto de una cámara o teléfono actual pesa decenas de veces más de lo que esa pantalla puede mostrar. ""Optimizar espacio"" reduce cada foto a 320px de lado mayor, el ancho nativo de la pantalla. ""Versión HD"" la deja en 640px: se ve un poco más nítida al hacer zoom en el visor, a cambio de más espacio en el iPod. En ambos casos se guarda como JPEG comprimido, nunca la foto original completa.",iPod の画面は 320×240 です。今のカメラやスマートフォンの写真は、その画面が表示できる情報量の数十倍あります。「容量を節約」は各写真の長辺を 320px（画面の実寸幅）に縮小します。「HD 版」は 640px のままにします。ビューアで拡大したときに少し鮮明ですが、そのぶん iPod の容量を使います。どちらの場合も圧縮 JPEG として保存され、元の写真そのものが入ることはありません。,"Der Bildschirm des iPods hat 320 × 240 – ein Foto einer aktuellen Kamera oder eines Smartphones ist dutzendfach größer, als dieser Bildschirm zeigen kann. „Platz sparen“ verkleinert jedes Foto auf 320 px an der längeren Seite, die native Breite des Bildschirms. „HD-Version“ belässt es bei 640 px: beim Zoomen im Betrachter etwas schärfer, dafür mehr Platz auf dem iPod. In beiden Fällen wird es als komprimiertes JPEG gesichert, nie das vollständige Originalfoto.","Экран iPod — 320 × 240; фото с современной камеры или телефона в десятки раз больше того, что этот экран способен показать. «Экономить место» уменьшает каждое фото до 320 px по большей стороне — это родная ширина экрана. «HD-версия» оставляет 640 px: чуть чётче при увеличении в просмотрщике, но занимает больше места на iPod. В обоих случаях сохраняется сжатый JPEG, а не полное исходное фото.","L’écran de l’iPod fait 320 × 240 — une photo d’un appareil ou d’un téléphone actuel pèse des dizaines de fois plus que ce que cet écran peut afficher. « Économiser l’espace » réduit chaque photo à 320 px sur son côté le plus long, la largeur native de l’écran. « Version HD » la laisse à 640 px : un peu plus nette quand vous zoomez dans la visionneuse, en échange de plus d’espace sur l’iPod. Dans les deux cas, elle est enregistrée en JPEG compressé, jamais la photo d’origine complète."
photo-settings-view.separa-tus-fotos-colecciones-imagenes-fo,acción de riesgo,"Separa tus fotos en colecciones (Imágenes, Fotos e IA por defecto, editables abajo) para encontrarlas más fácil DENTRO de Aura Studio -- la colección se sugiere sola al importar, y se puede corregir a mano en Biblioteca → Fotos. Con este ajuste activo, cada colección es ademas una carpeta dentro de ""Imágenes"" en la carpeta local de la biblioteca (Finder). No cambia dónde quedan en el iPod: ahí siempre se copian juntas en ""Photos"", porque el visor del iPod todavía no navega por subcarpetas.",写真をコレクション（初期設定は「画像」「写真」「AI」。下で変更できます）に分け、Aura Studio の中で見つけやすくします。コレクションは読み込み時に自動で提案され、ライブラリ → 写真で手動で直せます。この設定が有効なとき、各コレクションはライブラリのローカルフォルダ（Finder）の「画像」内のフォルダにもなります。iPod 上の扱いは変わりません。iPod のビューアはまだサブフォルダをたどれないため、常に「Photos」にまとめてコピーされます。,"Teilt deine Fotos in Sammlungen auf (standardmäßig Bilder, Fotos und KI, unten änderbar), damit du sie INNERHALB von Aura Studio leichter findest – die Sammlung wird beim Import vorgeschlagen, und du kannst sie unter Mediathek → Fotos von Hand korrigieren. Ist das aktiv, ist jede Sammlung außerdem ein Ordner in „Bilder“ im lokalen Mediathek-Ordner (Finder). Auf dem iPod ändert das nichts: Dort landen sie immer gemeinsam in „Photos“, weil der Betrachter des iPods noch keine Unterordner durchsuchen kann.","Делит ваши фото на коллекции (по умолчанию «Изображения», «Фото» и «ИИ», их можно изменить ниже), чтобы их было проще находить ВНУТРИ Aura Studio — коллекция предлагается при импорте, и её можно исправить вручную в разделе Медиатека → Фото. Когда параметр включён, каждая коллекция также становится папкой внутри «Изображений» в локальной папке медиатеки (Finder). На iPod это ничего не меняет: там они всегда копируются вместе в «Photos», потому что просмотрщик iPod пока не умеет заходить в подпапки.","Répartit vos photos en collections (Images, Photos et IA par défaut, modifiables ci-dessous) pour les retrouver plus facilement DANS Aura Studio — la collection est suggérée à l’import, et vous pouvez la corriger à la main dans Bibliothèque → Photos. Avec ce réglage actif, chaque collection est aussi un dossier dans « Images » du dossier local de la bibliothèque (Finder). Cela ne change rien sur l’iPod : là, elles sont toujours copiées ensemble dans « Photos », car la visionneuse de l’iPod ne parcourt pas encore les sous-dossiers."
photo-settings-view.version-hd-640px,acción de riesgo,Versión HD (640px),HD 版（640px）,HD-Version (640 px),HD-версия (640 px),Version HD (640 px)
playlists-view.borrar-playlist,texto de riesgo,Borrar playlist,プレイリストを削除,Playlist löschen,Удалить плейлист,Supprimer la playlist
playlists-view.quitar-imagen,texto de riesgo,Quitar imagen,画像を外す,Bild entfernen,Убрать изображение,Retirer l’image
privileged-action-sheet.si-cancelas,acción de riesgo,Si cancelas:,キャンセルした場合:,Wenn du abbrichst:,Если вы отмените:,Si vous annulez :
restore-handoff-view.cerrar-aura-studio-abrir-finder,acción de riesgo,Cerrar Aura Studio y abrir Finder,Aura Studio を終了して Finder を開く,Aura Studio schließen und Finder öffnen,Закрыть Aura Studio и открыть Finder,Fermer Aura Studio et ouvrir le Finder
restore-handoff-view.continua-finder,acción de riesgo,Continua en Finder,Finder で続ける,Weiter im Finder,Продолжить в Finder,Continuer dans le Finder
restore-handoff-view.ipod-quedo-listo-se-quito-bootloader,acción de riesgo,"El iPod quedo listo: se quito el bootloader de Aura y el disco se preparo en el formato que Finder espera (Mac OS Plus con registro, mapa GUID).",iPod の準備ができました。Aura のブートローダーを取り除き、ディスクを Finder が想定する形式（Mac OS 拡張（ジャーナリング）、GUID パーティションマップ）で用意しました。,"Der iPod ist fertig: Der Aura-Bootloader wurde entfernt und die Festplatte in dem Format vorbereitet, das der Finder erwartet (Mac OS Extended, journaled, GUID-Partitionstabelle).","iPod готов: загрузчик Aura удалён, а диск подготовлен в формате, который ожидает Finder (Mac OS Extended с журналом, схема GUID).","L’iPod est prêt : le bootloader d’Aura a été retiré et le disque a été préparé au format attendu par le Finder (Mac OS étendu journalisé, table GUID)."
settings-page.migrar-biblioteca,compartida con Windows,Migrar biblioteca,ライブラリを移行,Mediathek migrieren,Мигрировать медиатеку,Migrer la bibliothèque
settings-page.migrar-version-anterior,compartida con Windows,Migrar de una versión anterior,以前のバージョンから移行,Von einer älteren Version migrieren,Миграция с предыдущей версии,Migrer depuis une version antérieure
settings-section-view.actualizaciones-aura-studio,compartida con Windows,Actualizaciones de Aura Studio,Aura Studio のアップデート,Aura-Studio-Updates,Обновления Aura Studio,Mises à jour d’Aura Studio
settings-section-view.aqui-vive-catalogo-tu-biblioteca-funcion,compartida con Windows,"Aquí vive el catálogo de tu biblioteca -- funciona aunque el iPod no esté conectado, y se sincroniza al conectarlo. Que además copie tus archivos aquí depende del ajuste de abajo.",ここにライブラリのカタログが置かれます。iPod がつながっていなくても使え、つないだときに同期します。ファイル自体もここにコピーするかどうかは、下の設定で決まります。,"Hier liegt der Katalog deiner Mediathek – er funktioniert auch, wenn der iPod nicht angeschlossen ist, und wird beim Anschließen synchronisiert. Ob deine Dateien zusätzlich hierher kopiert werden, hängt von der Einstellung unten ab.","Здесь хранится каталог вашей медиатеки — он работает, даже когда iPod не подключён, и синхронизируется при подключении. Копируются ли сюда ещё и ваши файлы, зависит от настройки ниже.","C’est ici que vit le catalogue de votre bibliothèque — il fonctionne même quand l’iPod n’est pas branché, et se synchronise dès que vous le branchez. Que vos fichiers y soient aussi copiés dépend du réglage ci-dessous."
settings-section-view.buscar-actualizaciones,compartida con Windows,Buscar actualizaciones,アップデートを確認,Nach Updates suchen,Проверить обновления,Rechercher les mises à jour
settings-section-view.carpetas-externas-que-arrastraste-aura-c,texto de riesgo,"Carpetas externas que arrastraste a Aura con ""Crear copias de los medios..."" apagado -- Aura no copia nada de ahí, solo las recuerda acá. Quitar una carpeta de esta lista no borra ni desvincula lo que ya importaste desde ella, solo deja de mostrarla.",「メディアを Aura ライブラリにコピー」をオフにしたまま Aura にドラッグした外部フォルダです。Aura はそこから何もコピーせず、ここに記憶しておくだけです。このリストからフォルダを外しても、すでに読み込んだものが削除されたりリンクが切れたりはしません。表示されなくなるだけです。,"Externe Ordner, die du mit ausgeschaltetem „Medien in die Aura-Mediathek kopieren“ in Aura gezogen hast – Aura kopiert von dort nichts, es merkt sie sich nur hier. Einen Ordner aus dieser Liste zu entfernen löscht nichts und trennt nichts, was du von dort schon importiert hast; er wird nur nicht mehr angezeigt.","Внешние папки, которые вы перетащили в Aura с выключенной настройкой «Копировать медиафайлы в медиатеку Aura» — Aura ничего оттуда не копирует, лишь запоминает их здесь. Удаление папки из этого списка не удаляет и не отвязывает то, что вы уже импортировали из неё, а лишь перестаёт её показывать.","Dossiers externes que vous avez glissés dans Aura avec « Copier les médias dans la bibliothèque Aura » désactivé — Aura n’en copie rien, il ne fait que s’en souvenir ici. Retirer un dossier de cette liste ne supprime ni ne délie ce que vous en avez déjà importé, cela cesse simplement de l’afficher."
settings-section-view.hoy-todas-versiones-publicadas-aura-stud,texto de riesgo,"Hoy todas las versiones publicadas de Aura Studio son beta, así que conviene dejarlo activado. Aura Studio nunca se actualiza sola: solo te avisa y te deja bajar el instalador.",現在、公開されている Aura Studio はすべてベータ版なので、オンのままにしておくことをおすすめします。Aura Studio が自分で更新することはありません。お知らせして、インストーラーをダウンロードできるようにするだけです。,"Derzeit ist jede veröffentlichte Version von Aura Studio eine Beta, deshalb lohnt es sich, das aktiviert zu lassen. Aura Studio aktualisiert sich nie selbst: Es informiert dich nur und lässt dich das Installationsprogramm laden.","Сейчас все опубликованные версии Aura Studio — бета, поэтому этот параметр лучше оставить включённым. Aura Studio никогда не обновляется сама: она лишь сообщает вам и даёт скачать установщик.","Aujourd’hui, toutes les versions publiées d’Aura Studio sont des bêtas, il vaut donc mieux laisser cette option activée. Aura Studio ne se met jamais à jour tout seul : il vous prévient et vous laisse télécharger le programme d’installation."
settings-section-view.version-instalada,texto de riesgo,Versión instalada: %@,インストール済みのバージョン: %@,Installierte Version: %@,Установленная версия: %@,Version installée : %@
settings.fetch-lyrics,texto de riesgo,Buscar letras sincronizadas,同期歌詞を検索,Synchrone Liedtexte laden,Загружать синхронизированные тексты,Récupérer les paroles synchronisées
settings.installer,texto de riesgo,Instalador,インストーラー,Installation,Установка,Installation
settings.language-machine-translated,compartida con Windows,"Traducción automática, aún sin revisar por hablantes nativos",機械翻訳です。ネイティブスピーカーによる確認はまだ行われていません,"Maschinelle Übersetzung, noch nicht von Muttersprachlern geprüft","Машинный перевод, ещё не проверенный носителями языка","Traduction automatique, pas encore relue par des locuteurs natifs"
